Order,argovis_name,"argo Parameter name short version
Backup",argo_long_name,argo_cf_standard_name,argo_reference_scale,argo_unit,core/bio/intermediate,goship_name,goship_whp_name,goship_cf_standard_name,goship_unit
2,pres,PRES,"Sea water pressure, equals 0 at sea-level ",sea_water_pressure,,decibar,c,pressure,CTDPRS,sea_water_pressure,dbar
3,psal,PSAL,Practical salinity,sea_water_salinity,PSS-78,psu,c,ctd_salinity,CTDSAL,sea_water_practical_salinity,1
4,temp,TEMP,Sea temperature in-situ ITS-90 scale,sea_water_temperature,ITS-90,Celsius,c,ctd_temperature,CTDTMP,sea_water_temperature,degC
5,doxy,DOXY,Dissolved oxygen,moles_of_oxygen_per_unit_mass_in_sea_water,,micromole/kg,b,ctd_oxygen,CTDOXY,moles_of_oxygen_per_unit_mass_in_sea_water,umol/kg
,lat,,,,,degree_north,,latitude,LATITUDE,latitude,degree_north
,lon,,,,,degree_east,,longitude,LONGITUDE,longitude,degree_east
,date,,,,,,,time,"""DATE"", ""TIME""",time,
